"","MC_ProfileLogLik","parameter"
"1",-38811.3271869874,-5.80914299031403
"2",-39035.598127956,-5.74460446917646
"3",-38811.5671210748,-5.7138328105097
"4",-39138.7002865541,-5.65499231048677
"5",-38822.3100887872,-5.59942245933196
"6",-38469.0363533094,-5.54677872584654
"7",-38758.7391162266,-5.52146091786225
"8",-38337.9898144854,-5.44914025628262
"9",-37944.2378413514,-5.40367788220586
"10",-37843.2961233748,-5.36019277026612
"11",-38011.2087782061,-5.31852007386556
"12",-37946.8172123361,-5.25909665339476
"13",-37426.4555844858,-5.20300718674371
"14",-37672.2622115283,-5.16728910414163
"15",-37836.8453089265,-5.11599580975408
"16",-37165.469075021,-5.06720564558465
"17",-37585.3873422431,-5.00564775258522
"18",-37423.1983044008,-4.96184512992682
"19",-37260.8134793739,-4.90627527877201
"20",-37403.0358995689,-4.8665349501225
"21",-37514.3422725887,-4.81589121730374
"22",-37884.3188372376,-4.75599307572268
"23",-37854.0961376168,-4.71053070164592
"24",-37915.7666316501,-4.65646348037564
"25",-37699.2881206322,-4.61522052184159
"26",-37640.297966561,-4.55638002181866
"27",-37529.13854692,-4.50986000618377
"28",-38031.4651952093,-4.46540824361293
"29",-37272.3071964159,-4.41454982637944
"30",-38136.0960564271,-4.35831010805657
"31",-38090.4940478659,-4.31250057202527
"32",-38013.5601998224,-4.26158048159801
"33",-37953.0062870796,-4.21312809821207
"34",-38221.8741446678,-4.16048436472665
"35",-38273.9120001553,-4.11047394415198
"36",-38124.7883178513,-4.06284589516273
"37",-37840.5119373792,-4.01184334071036
"38",-38350.170876143,-3.9633162998157
"39",-38586.6270247954,-3.91202300542815
